Sex,Year Level,Course,Income,Usage,usagelevel
Female,Fourth Year,BSBA,Php 20 000 and Below,3.7777777777777777,Very High
Male,Fourth Year,BSBA,Above Php 60 000,1.7777777777777777,Low
Female,Fourth Year,BSBA,Php 20 000 and Below,2.888888888888889,Moderate
Male,Fourth Year,BSTM,Above Php 60 000,3.3333333333333335,High
Male,Fourth Year,BSTM,Above Php 60 000,3.2222222222222223,High
Female,Fourth Year,BSTM,Php 20 001 to Php 60 000,3.2222222222222223,High
Female,Fourth Year,BSTM,Php 20 001 to Php 60 000,2.5555555555555554,Low
Female,Fourth Year,BSTM,Php 20 001 to Php 60 000,2.4444444444444446,Low
Female,Fourth Year,BSBA,Php 20 001 to Php 60 000,2.5555555555555554,Low
Female,Fourth Year,BSTM,Php 20 001 to Php 60 000,4.0,Very High
Female,First Year,BSHM,Php 20 001 to Php 60 000,4.111111111111111,Very High
Male,Second Year,BSHM,Php 20 001 to Php 60 000,3.5555555555555554,High
Female,Third Year,BSHM,Php 20 000 and Below,2.6666666666666665,Moderate
Female,First Year,BSTM,Php 20 000 and Below,4.222222222222222,Very High
Female,Fourth Year,BSBA,Php 20 000 and Below,2.7777777777777777,Moderate
Female,Fourth Year,BSBA,Php 20 000 and Below,3.4444444444444446,High
Female,Fourth Year,BSBA,Php 20 001 to Php 60 000,3.888888888888889,Very High
Female,Fourth Year,BSBA,Php 20 000 and Below,3.2222222222222223,High
Female,Fourth Year,BSBA,Php 20 001 to Php 60 000,4.0,Very High
Female,First Year,BSHM,Php 20 000 and Below,4.0,Very High
Female,Fourth Year,BSTM,Php 20 000 and Below,2.4444444444444446,Low
Male,Fourth Year,BSBA,Php 20 001 to Php 60 000,2.5555555555555554,Low
Male,First Year,BSCM,Php 20 000 and Below,3.6666666666666665,Very High
Female,Second Year,BSCM,Php 20 000 and Below,2.6666666666666665,Moderate
Female,Fourth Year,BSCM,Php 20 000 and Below,2.5555555555555554,Low
Female,Fourth Year,BSBA,Php 20 000 and Below,1.8888888888888888,Low
Female,First Year,BSTM,Php 20 001 to Php 60 000,3.2222222222222223,High
Female,Third Year,BSTM,Php 20 000 and Below,3.7777777777777777,Very High
Female,Third Year,BSTM,Php 20 000 and Below,2.888888888888889,Moderate
Female,Third Year,BSTM,Php 20 001 to Php 60 000,3.5555555555555554,High
Female,Third Year,BSTM,Php 20 000 and Below,1.6666666666666667,Low
Female,Third Year,BSTM,Php 20 000 and Below,3.2222222222222223,High
Female,Third Year,BSTM,Php 20 000 and Below,4.333333333333333,Very High
Female,First Year,BSTM,Above Php 60 000,2.5555555555555554,Low
Female,Third Year,BSTM,Php 20 000 and Below,3.5555555555555554,High
Female,First Year,BSTM,Php 20 000 and Below,1.8888888888888888,Low
Female,First Year,BSTM,Php 20 001 to Php 60 000,4.333333333333333,Very High
Male,First Year,BSTM,Php 20 001 to Php 60 000,3.5555555555555554,High
Male,First Year,BSTM,Above Php 60 000,2.5555555555555554,Low
Female,Third Year,BSTM,Above Php 60 000,2.4444444444444446,Low
Female,Third Year,BSTM,Above Php 60 000,3.111111111111111,High
Male,First Year,BSTM,Php 20 001 to Php 60 000,2.7777777777777777,Moderate
Female,Third Year,BSTM,Php 20 001 to Php 60 000,2.4444444444444446,Low
Female,First Year,BSTM,Php 20 000 and Below,2.5555555555555554,Low
Female,First Year,BSTM,Php 20 000 and Below,4.0,Very High
Female,Third Year,BSTM,Php 20 000 and Below,3.6666666666666665,Very High
Female,First Year,BSBA,Php 20 001 to Php 60 000,2.7777777777777777,Moderate
Female,Fourth Year,BSCM,Above Php 60 000,4.0,Very High
Female,Second Year,BSBA,Above Php 60 000,2.5555555555555554,Low
Female,First Year,BSHM,Php 20 001 to Php 60 000,3.111111111111111,High
Male,Third Year,BSHM,Php 20 000 and Below,2.6666666666666665,Moderate
Male,Fourth Year,BSHM,Php 20 000 and Below,1.2222222222222223,Very Low
Female,First Year,BSHM,Php 20 000 and Below,3.4444444444444446,High
Female,Third Year,BSHM,Php 20 000 and Below,4.111111111111111,Very High
Male,Fourth Year,BSHM,Php 20 001 to Php 60 000,3.2222222222222223,High
Male,Third Year,BSHM,Php 20 000 and Below,2.5555555555555554,Low
Female,Third Year,BSHM,Php 20 000 and Below,4.0,Very High
Female,Third Year,BSHM,Php 20 000 and Below,2.4444444444444446,Low
Female,Third Year,BSHM,Php 20 000 and Below,4.777777777777778,Very High
Female,First Year,BSHM,Php 20 000 and Below,3.111111111111111,High
Male,Fourth Year,BSHM,Php 20 000 and Below,3.4444444444444446,High
Female,Third Year,BSHM,Php 20 001 to Php 60 000,3.7777777777777777,Very High
Female,Third Year,BSHM,Above Php 60 000,3.6666666666666665,Very High
Female,First Year,BSHM,Php 20 001 to Php 60 000,3.0,Moderate
Male,First Year,BSHM,Php 20 001 to Php 60 000,3.5555555555555554,High
Female,First Year,BSHM,Above Php 60 000,3.6666666666666665,Very High
Male,Second Year,BSHM,Php 20 001 to Php 60 000,3.111111111111111,High
Male,Second Year,BSHM,Php 20 000 and Below,3.888888888888889,Very High
Male,Second Year,BSHM,Php 20 000 and Below,3.0,Moderate
Male,Second Year,BSHM,Php 20 001 to Php 60 000,4.0,Very High
Female,Second Year,BSHM,Php 20 000 and Below,2.4444444444444446,Low
Female,First Year,BSTM,Above Php 60 000,4.555555555555555,Very High
Male,First Year,BSTM,Above Php 60 000,4.222222222222222,Very High
Female,First Year,BSTM,Php 20 001 to Php 60 000,4.111111111111111,Very High
Female,Fourth Year,BSTM,Php 20 001 to Php 60 000,5.0,Very High
Female,Fourth Year,BSTM,Php 20 001 to Php 60 000,3.3333333333333335,High
Male,Fourth Year,BSTM,Above Php 60 000,4.0,Very High
Female,Second Year,BSTM,Php 20 000 and Below,2.5555555555555554,Low
Female,Fourth Year,BSTM,Above Php 60 000,3.6666666666666665,Very High
Female,Fourth Year,BSTM,Php 20 001 to Php 60 000,3.6666666666666665,Very High
Female,Second Year,BSTM,Above Php 60 000,2.7777777777777777,Moderate
Female,Third Year,BSTM,Php 20 000 and Below,4.0,Very High
Female,First Year,BSTM,Php 20 001 to Php 60 000,2.5555555555555554,Low
Male,First Year,BSHM,Above Php 60 000,3.5555555555555554,High
Female,Third Year,BSHM,Php 20 000 and Below,1.3333333333333333,Very Low
Male,First Year,BSHM,Php 20 000 and Below,2.5555555555555554,Low
Female,First Year,BSHM,Php 20 000 and Below,3.6666666666666665,Very High
Male,Third Year,BSHM,Php 20 000 and Below,3.0,Moderate
Female,Third Year,BSTM,Php 20 001 to Php 60 000,2.0,Low
Female,Third Year,BSHM,Php 20 000 and Below,1.8888888888888888,Low
Female,Second Year,BSHM,Php 20 000 and Below,2.2222222222222223,Low
Female,Third Year,BSHM,Php 20 001 to Php 60 000,3.888888888888889,Very High
Female,Third Year,BSHM,Php 20 001 to Php 60 000,2.4444444444444446,Low
Female,Third Year,BSCM,Php 20 000 and Below,3.4444444444444446,High
Female,Third Year,BSCM,Php 20 000 and Below,2.6666666666666665,Moderate
Male,Third Year,BSCM,Php 20 000 and Below,2.7777777777777777,Moderate
Female,Third Year,BSCM,Php 20 001 to Php 60 000,2.6666666666666665,Moderate
Female,Third Year,BSCM,Php 20 000 and Below,2.5555555555555554,Low
Female,Third Year,BSCM,Php 20 000 and Below,2.888888888888889,Moderate
Female,Third Year,BSCM,Php 20 000 and Below,2.6666666666666665,Moderate
Female,First Year,BSCM,Php 20 000 and Below,2.888888888888889,Moderate
Male,First Year,BSCM,Php 20 000 and Below,2.5555555555555554,Low
Female,First Year,BSCM,Php 20 000 and Below,2.888888888888889,Moderate
Female,First Year,BSCM,Php 20 001 to Php 60 000,2.5555555555555554,Low
Female,Third Year,BSCM,Php 20 000 and Below,1.4444444444444444,Very Low
Male,First Year,BSCM,Php 20 000 and Below,1.6666666666666667,Low
Female,First Year,BSCM,Php 20 000 and Below,1.0,Very Low
Female,First Year,BSCM,Php 20 000 and Below,2.0,Low
Male,First Year,BSCM,Php 20 000 and Below,2.7777777777777777,Moderate
Male,Fourth Year,BSHM,Php 20 000 and Below,4.0,Very High
Female,Fourth Year,BSHM,Php 20 000 and Below,3.0,Moderate
Female,Second Year,BSCM,Php 20 000 and Below,2.2222222222222223,Low
Female,Second Year,BSCM,Php 20 001 to Php 60 000,1.2222222222222223,Very Low
Female,Third Year,BSCM,Php 20 000 and Below,2.3333333333333335,Low
Female,Second Year,BSCM,Above Php 60 000,3.3333333333333335,High
Female,Fourth Year,BSCM,Php 20 000 and Below,3.7777777777777777,Very High
Female,Third Year,BSCM,Php 20 000 and Below,2.7777777777777777,Moderate
Female,Third Year,BSCM,Php 20 001 to Php 60 000,2.6666666666666665,Moderate
Female,Fourth Year,BSCM,Php 20 000 and Below,2.888888888888889,Moderate
Female,Third Year,BSCM,Php 20 001 to Php 60 000,3.3333333333333335,High
Male,Fourth Year,BSCM,Php 20 000 and Below,3.111111111111111,High
Female,Fourth Year,BSHM,Php 20 001 to Php 60 000,3.0,Moderate
Male,Fourth Year,BSHM,Php 20 000 and Below,2.3333333333333335,Low
Male,Fourth Year,BSHM,Php 20 000 and Below,1.6666666666666667,Low
Male,Fourth Year,BSHM,Php 20 001 to Php 60 000,3.7777777777777777,Very High
Male,Fourth Year,BSCM,Php 20 000 and Below,2.111111111111111,Low
Male,Second Year,BSTM,Php 20 000 and Below,2.7777777777777777,Moderate
Female,Second Year,BSTM,Php 20 001 to Php 60 000,2.6666666666666665,Moderate
Female,Third Year,BSCM,Php 20 000 and Below,3.4444444444444446,High
Female,Fourth Year,BSTM,Php 20 001 to Php 60 000,2.7777777777777777,Moderate
Male,Fourth Year,BSTM,Php 20 001 to Php 60 000,4.888888888888889,Very High
Female,Second Year,BSCM,Php 20 000 and Below,2.5555555555555554,Low
Female,Third Year,BSTM,Php 20 001 to Php 60 000,3.888888888888889,Very High
Male,Third Year,BSTM,Php 20 001 to Php 60 000,3.0,Moderate
Male,Third Year,BSCM,Php 20 001 to Php 60 000,4.222222222222222,Very High
Male,Second Year,BSHM,Php 20 000 and Below,1.8888888888888888,Low
Male,Second Year,BSHM,Php 20 001 to Php 60 000,3.0,Moderate
Male,Second Year,BSTM,Php 20 000 and Below,3.3333333333333335,High
Female,First Year,BSCM,Php 20 000 and Below,3.4444444444444446,High
Female,First Year,BSCM,Php 20 000 and Below,1.8888888888888888,Low
Female,Second Year,BSCM,Php 20 001 to Php 60 000,2.3333333333333335,Low
Male,First Year,BSHM,Php 20 000 and Below,2.3333333333333335,Low
Female,First Year,BSCM,Php 20 000 and Below,3.2222222222222223,High
Male,First Year,BSTM,Php 20 000 and Below,3.7777777777777777,Very High
Male,Fourth Year,BSHM,Php 20 000 and Below,3.0,Moderate
Female,Second Year,BSTM,Above Php 60 000,4.333333333333333,Very High
Female,Third Year,BSTM,Php 20 001 to Php 60 000,3.0,Moderate
Female,Fourth Year,BSHM,Above Php 60 000,3.111111111111111,High
Female,Second Year,BSCM,Above Php 60 000,3.111111111111111,High
Female,Third Year,BSTM,Php 20 001 to Php 60 000,3.3333333333333335,High
Female,Third Year,BSHM,Php 20 000 and Below,2.4444444444444446,Low
Female,Second Year,BSCM,Php 20 000 and Below,1.5555555555555556,Very Low
Female,Fourth Year,BSCM,Php 20 000 and Below,3.111111111111111,High
Female,Second Year,BSCM,Php 20 001 to Php 60 000,3.4444444444444446,High
Male,Third Year,BSCM,Php 20 000 and Below,3.888888888888889,Very High
Female,Third Year,BSCM,Php 20 000 and Below,2.0,Low
Female,Third Year,BSCM,Php 20 000 and Below,2.6666666666666665,Moderate
Female,Third Year,BSCM,Php 20 000 and Below,2.7777777777777777,Moderate
Male,First Year,BSHM,Php 20 000 and Below,1.3333333333333333,Very Low
Female,First Year,BSCM,Php 20 000 and Below,2.111111111111111,Low
Female,Fourth Year,BSTM,Php 20 001 to Php 60 000,3.0,Moderate
Female,Second Year,BSTM,Php 20 000 and Below,5.0,Very High
Female,First Year,BSHM,Php 20 000 and Below,2.7777777777777777,Moderate
Male,Fourth Year,BSHM,Php 20 001 to Php 60 000,5.0,Very High
Female,First Year,BSHM,Php 20 000 and Below,3.0,Moderate
Female,First Year,BSHM,Php 20 001 to Php 60 000,3.6666666666666665,Very High
Female,Fourth Year,BSHM,Php 20 000 and Below,3.111111111111111,High
Male,Third Year,BSTM,Php 20 001 to Php 60 000,3.0,Moderate
Female,Second Year,BSTM,Above Php 60 000,3.3333333333333335,High
Male,Second Year,BSTM,Php 20 000 and Below,2.4444444444444446,Low
Female,Fourth Year,BSCM,Php 20 000 and Below,3.3333333333333335,High
Female,First Year,BSCM,Php 20 000 and Below,4.0,Very High
Female,First Year,BSCM,Php 20 000 and Below,3.0,Moderate
Female,Third Year,BSHM,Php 20 001 to Php 60 000,2.4444444444444446,Low
Female,First Year,BSCM,Php 20 000 and Below,2.3333333333333335,Low
Male,Fourth Year,BSCM,Php 20 000 and Below,2.888888888888889,Moderate
Female,Second Year,BSCM,Php 20 001 to Php 60 000,3.6666666666666665,Very High
Female,Second Year,BSCM,Php 20 000 and Below,3.888888888888889,Very High
Female,Third Year,BSBA,Above Php 60 000,2.6666666666666665,Moderate
Female,Third Year,BSBA,Php 20 000 and Below,2.888888888888889,Moderate
Female,Third Year,BSBA,Php 20 000 and Below,3.5555555555555554,High
Male,Second Year,BSBA,Php 20 001 to Php 60 000,4.333333333333333,Very High
Female,Third Year,BSBA,Php 20 001 to Php 60 000,3.2222222222222223,High
Female,Third Year,BSBA,Php 20 000 and Below,1.7777777777777777,Low
Male,Second Year,BSBA,Php 20 001 to Php 60 000,3.2222222222222223,High
Male,Second Year,BSBA,Php 20 001 to Php 60 000,3.0,Moderate
Female,Third Year,BSBA,Php 20 001 to Php 60 000,3.111111111111111,High
Female,Third Year,BSBA,Php 20 000 and Below,2.888888888888889,Moderate
Female,Fourth Year,BSHM,Php 20 000 and Below,3.888888888888889,Very High
Female,Second Year,BSHM,Php 20 001 to Php 60 000,2.3333333333333335,Low
Male,Second Year,BSHM,Php 20 001 to Php 60 000,4.0,Very High
Male,Second Year,BSHM,Php 20 001 to Php 60 000,2.7777777777777777,Moderate
Female,First Year,BSBA,Above Php 60 000,3.888888888888889,Very High
Male,Second Year,BSHM,Php 20 001 to Php 60 000,2.2222222222222223,Low
Female,Second Year,BSHM,Php 20 000 and Below,3.3333333333333335,High
Female,Second Year,BSCM,Php 20 001 to Php 60 000,2.7777777777777777,Moderate
Female,Second Year,BSCM,Above Php 60 000,2.111111111111111,Low
Female,Second Year,BSCM,Php 20 000 and Below,3.4444444444444446,High
Female,Fourth Year,BSHM,Php 20 001 to Php 60 000,4.111111111111111,Very High
Male,First Year,BSBA,Php 20 000 and Below,4.666666666666667,Very High
Female,First Year,BSBA,Php 20 001 to Php 60 000,3.2222222222222223,High
Female,Second Year,BSBA,Php 20 000 and Below,2.888888888888889,Moderate
Female,First Year,BSBA,Php 20 000 and Below,2.4444444444444446,Low
Female,Second Year,BSBA,Php 20 000 and Below,3.5555555555555554,High
Female,First Year,BSBA,Php 20 000 and Below,1.2222222222222223,Very Low
Female,First Year,BSBA,Php 20 001 to Php 60 000,3.0,Moderate
Male,Second Year,BSBA,Php 20 001 to Php 60 000,2.6666666666666665,Moderate
Female,First Year,BSBA,Php 20 000 and Below,2.0,Low
Female,First Year,BSBA,Above Php 60 000,3.111111111111111,High
Female,First Year,BSBA,Php 20 000 and Below,3.5555555555555554,High
Female,First Year,BSBA,Php 20 000 and Below,1.8888888888888888,Low
Male,First Year,BSBA,Php 20 000 and Below,2.3333333333333335,Low
Male,First Year,BSBA,Php 20 000 and Below,4.222222222222222,Very High
Female,First Year,BSBA,Php 20 000 and Below,2.5555555555555554,Low
Male,Second Year,BSBA,Php 20 000 and Below,2.888888888888889,Moderate
Male,Second Year,BSBA,Php 20 001 to Php 60 000,2.888888888888889,Moderate
Male,Second Year,BSBA,Php 20 000 and Below,1.8888888888888888,Low
Female,Second Year,BSBA,Php 20 001 to Php 60 000,1.6666666666666667,Low
Female,Second Year,BSBA,Php 20 000 and Below,4.666666666666667,Very High
Female,Second Year,BSBA,Above Php 60 000,4.222222222222222,Very High
Female,Second Year,BSBA,Php 20 000 and Below,2.5555555555555554,Low
Male,First Year,BSBA,Php 20 001 to Php 60 000,3.4444444444444446,High
Female,First Year,BSBA,Php 20 000 and Below,3.0,Moderate
Female,Second Year,BSBA,Php 20 001 to Php 60 000,1.2222222222222223,Very Low
Female,Second Year,BSBA,Php 20 000 and Below,2.2222222222222223,Low
